"group","names","scores","logfoldchanges","pvals","pvals_adj"
"AEC","SHE",5.05640669794981,5.05640669794981,0,0
"AEC","GPIHBP1",5.0402410233451,5.0402410233451,0,0
"AEC","CDH5",5.03813346067544,5.03813346067544,0,0
"AEC","NPR1",5.00870462820278,5.00870462820278,0,0
"AEC","GIMAP8",5.00436191409522,5.00436191409522,0,0
"AEC","PDGFB",4.95514977802463,4.95514977802463,0,0
"AEC","LINC00982",4.95144143441378,4.95144143441378,0,0
"AEC","NDRG4",4.92962419849384,4.92962419849384,0,0
"AEC","FGF2",4.89436761361353,4.89436761361353,0,0
"AEC","PTPRB",4.88012870454706,4.88012870454706,0,0
"AEC","IFI27",4.84503073331358,4.84503073331358,0,0
"AEC","CLEC14A",4.80218906889657,4.80218906889657,0,0
"AEC","SLC5A4",4.79346553895566,4.79346553895566,0,0
"AEC","RAMP2",4.77334675503528,4.77334675503528,0,0
"AEC","CDH13",4.77016070481532,4.77016070481532,0,0
"AEC","DLL4",4.7430204307652,4.7430204307652,0,0
"AEC","CD300LG",4.73455436602562,4.73455436602562,0,0
"APOD+ MSC","APOD",7.07870814942831,7.07870814942831,0,0
"APOD+ MSC","AC093772.1",4.90380737043284,4.90380737043284,0,0
"APOD+ MSC","CCL13",4.82594650468796,4.82594650468796,0,0
"APOD+ MSC","LAMA2",4.49219709149838,4.49219709149838,0,0
"APOD+ MSC","STMN2",4.42236232374374,4.42236232374374,0,0
"APOD+ MSC","IGFBP6",4.28184696765345,4.28184696765345,0,0
"APOD+ MSC","EPHA3",4.12839953277422,4.12839953277422,0,0
"APOD+ MSC","LINC02511",4.11688925642423,4.11688925642423,0,0
"APOD+ MSC","MEDAG",3.92577347311781,3.92577347311781,0,0
"APOD+ MSC","SCARA5",3.85767731042165,3.85767731042165,0,0
"APOD+ MSC","PPL",3.76409477713642,3.76409477713642,0,0
"APOD+ MSC","TMEM100",3.74670090390447,3.74670090390447,0,0
"APOD+ MSC","FBLN1",3.72821484481753,3.72821484481753,0,0
"APOD+ MSC","ADH1B",3.64550865199962,3.64550865199962,0,0
"APOD+ MSC","ANKS1B",3.5927204843534,3.5927204843534,0,0
"APOD+ MSC","ANKFN1",3.58744549716405,3.58744549716405,1.04417340764682e-289,3.0752995202014e-285
"APOD+ MSC","ANGPTL5",3.56257994907816,3.56257994907816,0,0
"APOD+ MSC","AL445250.1",3.48249966675687,3.48249966675687,0,0
"APOD+ MSC","AC008591.1",3.4566406528108,3.4566406528108,1.01955617971783e-207,3.00279686050494e-203
"APOD+ MSC","SERTAD4",3.43701361729263,3.43701361729263,0,0
"APOD+ MSC","HTRA3",3.43457939276055,3.43457939276055,0,0
"APOD+ MSC","PDGFRL",3.42208219040251,3.42208219040251,0,0
"APOD+ MSC","PRELP",3.35159784201632,3.35159784201632,0,0
"APOD+ MSC","WNT5A",3.31907566833231,3.31907566833231,5.12830453644106e-149,1.51038825207262e-144
"APOD+ MSC","GSN",3.23172922054534,3.23172922054534,0,0
"APOD+ MSC","PRRX2",3.20193391349117,3.20193391349117,0,0
"APOD+ MSC","KIAA1755",3.19699558981209,3.19699558981209,5.42599817658825e-244,1.59806498296877e-239
"APOD+ MSC","PTN",3.17577090158002,3.17577090158002,0,0
"APOD+ MSC","PTGFR",3.1513420855051,3.1513420855051,0,0
"APOD+ MSC","STXBP6",3.14280104801509,3.14280104801509,0,0
"APOD+ MSC","MGP",3.13772217168338,3.13772217168338,0,0
"APOD+ MSC","GPNMB",3.1106592260484,3.1106592260484,0,0
"APOD+ MSC","TP63",3.09875714658149,3.09875714658149,0,0
"APOD+ MSC","PLEKHH2",3.09263109210072,3.09263109210072,0,0
"APOD+ MSC","NOVA1",3.09257641999072,3.09257641999072,0,0
"APOD+ MSC","RAMP2-AS1",3.06145538067638,3.06145538067638,2.81665310522848e-129,8.29560672551892e-125
"APOD+ MSC","CLIC6",3.05385636201613,3.05385636201613,0,0
"APOD+ MSC","ABCA6",3.04612758133362,3.04612758133362,0,0
"APOD+ MSC","CFH",3.01835967613334,3.01835967613334,0,0
"APOD+ MSC","DNM1",2.97486611251897,2.97486611251897,2.38146630765051e-262,7.01389456929228e-258
"APOD+ MSC","FBLN2",2.96006535539107,2.96006535539107,0,0
"APOD+ MSC","SERPINE1",2.92382352680272,2.92382352680272,3.09651025451215e-209,9.11984200158918e-205
"APOD+ MSC","ABCA10",2.92248264284292,2.92248264284292,0,0
"APOD+ MSC","CACNA2D3",2.90187504507643,2.90187504507643,0,0
"APOD+ MSC","ABCA9-AS1",2.89497212455342,2.89497212455342,7.39779400486002e-293,2.17879829031137e-288
"APOD+ MSC","DCN",2.893963140355,2.893963140355,0,0
"APOD+ MSC","TRIM9",2.88902225443957,2.88902225443957,0,0
"APOD+ MSC","LARP6",2.87187352437276,2.87187352437276,0,0
"APOD+ MSC","LUM",2.85558619053884,2.85558619053884,0,0
"APOD+ MSC","CRABP2",2.85167379599316,2.85167379599316,5.05656014091259e-222,1.48925809270158e-217
"Ba/Eo/Ma","HDC",9.89008659165158,9.89008659165158,0,0
"Ba/Eo/Ma","ENPP3",9.65844797128298,9.65844797128298,0,0
"Ba/Eo/Ma","MS4A2",9.44109538992782,9.44109538992782,0,0
"Ba/Eo/Ma","TPSB2",9.29816531378726,9.29816531378726,0,0
"Ba/Eo/Ma","IL4",9.27874602649664,9.27874602649664,0,0
"Ba/Eo/Ma","AC111000.4",9.21407901639427,9.21407901639427,0,0
"Ba/Eo/Ma","TPSAB1",9.14043353792784,9.14043353792784,0,0
"Ba/Eo/Ma","TPSD1",9.10175322612509,9.10175322612509,0,0
"Ba/Eo/Ma","IL13",8.44831658456714,8.44831658456714,0,0
"Ba/Eo/Ma","HPGD",8.33575573187226,8.33575573187226,0,0
"Ba/Eo/Ma","IL1RL1",8.2646667231999,8.2646667231999,0,0
"Ba/Eo/Ma","CLC",8.13014432291672,8.13014432291672,0,0
"Ba/Eo/Ma","PRG2",7.67475037688353,7.67475037688353,0,0
"Ba/Eo/Ma","SLC45A3",6.98733127166811,6.98733127166811,0,0
"Ba/Eo/Ma","CDK15",6.47862991981315,6.47862991981315,0,0
